date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:05:42	2552/2552	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:11%20GMT	http://www.cplusplus.com/reference/new.cgi?a=cctype	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/newaa0a.html	(from http://www.cplusplus.com/reference/cctype/)
11:05:43	13925/13925	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/stack/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/stack/index.html	(from http://www.cplusplus.com/reference/)
11:05:43	15127/15127	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/unordered_map/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/unordered_map/index.html	(from http://www.cplusplus.com/reference/)
11:05:43	15127/15127	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/unordered_set/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/unordered_set/index.html	(from http://www.cplusplus.com/reference/)
11:05:43	2569/2569	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:12%20GMT	http://www.cplusplus.com/reference/edit.cgi?a=cctype	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/editaa0a.html	(from http://www.cplusplus.com/reference/cctype/)
11:05:43	14612/14612	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/vector/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/vector/index.html	(from http://www.cplusplus.com/reference/)
11:05:44	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:12%20GMT	http://www.cplusplus.com/reference/iostream/ios_base/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/ios_base/index.html	(from http://www.cplusplus.com/reference/)
11:05:44	1460/1460	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Dec%202017%2005:40:12%20GMT	http://www.cplusplus.com/reference/delete.cgi?a=cctype	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/deleteaa0a.cgi	(from http://www.cplusplus.com/reference/cctype/)
11:05:44	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:12%20GMT	http://www.cplusplus.com/reference/iostream/ios/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/ios/index.html	(from http://www.cplusplus.com/reference/)
11:05:44	67744/67744	---MC-	200	added ('OK')	text/javascript	date:Tue,%2005%20Dec%202017%2005:35:35%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	D:/MyWebsites/C++Reference/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://www.cplusplus.com/reference/)
11:05:44	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:13%20GMT	http://www.cplusplus.com/reference/iostream/istream/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/istream/index.html	(from http://www.cplusplus.com/reference/)
11:05:44	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:13%20GMT	http://www.cplusplus.com/reference/iostream/iostream/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/iostream/index.html	(from http://www.cplusplus.com/reference/)
11:05:44	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:13%20GMT	http://www.cplusplus.com/reference/iostream/ostream/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/ostream/index.html	(from http://www.cplusplus.com/reference/)
11:05:45	2552/2552	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:13%20GMT	http://www.cplusplus.com/reference/new.cgi?a=cerrno	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/new2432.cgi	(from http://www.cplusplus.com/reference/cerrno/)
11:05:45	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:13%20GMT	http://www.cplusplus.com/reference/iostream/streambuf/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/streambuf/index.html	(from http://www.cplusplus.com/reference/)
11:05:45	2569/2569	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:14%20GMT	http://www.cplusplus.com/reference/edit.cgi?a=cerrno	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/edit2432.html	(from http://www.cplusplus.com/reference/cerrno/)
11:05:45	18062/18062	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/iostream/cin/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/cin/index.html	(from http://www.cplusplus.com/reference/)
11:05:46	18263/18263	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/iostream/cout/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/cout/index.html	(from http://www.cplusplus.com/reference/)
11:05:46	1460/1460	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Dec%202017%2005:40:14%20GMT	http://www.cplusplus.com/reference/delete.cgi?a=cerrno	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/delete2432.cgi	(from http://www.cplusplus.com/reference/cerrno/)
11:05:46	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:14%20GMT	http://www.cplusplus.com/reference/iostream/ifstream/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/ifstream/index.html	(from http://www.cplusplus.com/reference/)
11:05:46	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:15%20GMT	http://www.cplusplus.com/reference/iostream/fstream/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/fstream/index.html	(from http://www.cplusplus.com/reference/)
